Capítulo (Nro);Capítulo (Nombre);Grupo de Enfermedad;Código 1ª Jerarquía;Categoría 1ª Jerarquía;Código 2ª Jerarquía;Categoría 2ª Jerarquía;Observaciones
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Otras deficiencias nutricionales;E63;Otras deficiencias nutricionales;E64.3;Secuelas del raquitismo;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Otras deficiencias nutricionales;E63;Otras deficiencias nutricionales;E64.8;Secuelas de otras deficiencias nutricionales;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Otras deficiencias nutricionales;E63;Otras deficiencias nutricionales;E64.9;Secuelas de la deficiencia nutricional no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E66;Obesidad;E66.0;Obesidad debida a exceso de calorías;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E66;Obesidad;E66.1;Obesidad inducida por drogas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E66;Obesidad;E66.2;Obesidad extrema con hipoventilación alveolar;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E66;Obesidad;E66.8;Otros tipos de obesidad;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E66;Obesidad;E66.9;Obesidad, no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E67;Otros tipos de hiperalimentación;E67.0;Hipervitaminosis A;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E67;Otros tipos de hiperalimentación;E67.1;Hipercarotinemia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E67;Otros tipos de hiperalimentación;E67.2;Síndrome de megavitamina B6;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E67;Otros tipos de hiperalimentación;E67.3;Hipervitaminosis D;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E67;Otros tipos de hiperalimentación;E67.8;Otros tipos de hiperalimentación especificados;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E70.0;Fenilcetonuria clásica;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E70.1;Otras hiperfenilalaninemias;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E70.2;Trastornos del metabolismo de la tirosina;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E70.3;Albinismo;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E70.9;Trastorno del metabolismo de los aminoácidos aromáticos,;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E71.0;Enfermedad de la orina en jarabe de arce;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E71.1;Otros trastornos del metabolismo de los aminoácidos de;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E71.2;Otros trastornos del metabolismo de los aminoácidos de;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E71.3;Trastornos del metabolismo de los ácidos grasos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.0;Trastornos del transporte de los aminoácidos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.1;Trastornos del metabolismo de los aminoácidos azufrados;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.2;Trastornos del metabolismo del ciclo de la urea;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.3;Trastornos del metabolismo de la lisina y la hidroxilisina;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.5;Trastornos del metabolismo de la glicina;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.8;Otros trastornos especificados del metabolismo de los;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Obesidad y otros tipos de hiperalimentación;E68;Secuelas de hiperalimentación;E72.9;Trastorno del metabolismo de los aminoácidos, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E73.0;Deficiencia congénita de lactasa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E73.1;Deficiencia secundaria de lactasa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E73.8;Otros tipos de intolerancia a la lactosa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E73.9;Intolerancia a la lactosa, no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.0;Enfermedad del almacenamiento de glucógeno;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.1;Trastornos del metabolismo de la fructosa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.2;Trastorno del metabolismo de la galactosa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.3;Otros trastornos de la absorción intestinal de carbohidratos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.4;Trastornos del metabolismo del piruvato y de la;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.8;Otros trastornos especificados del metabolismo de los;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E74.9;Trastorno del metabolismo de los carbohidratos, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.0;Gangliosidosis GM2;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.1;Otras gangliosidosis;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.2;Otras esfingolipidosis;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.3;Esfingolipidosis, no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.4;Lipofuscinosis ceroide neuronal;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.5;Otros trastornos del almacenamiento de lípidos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E75.6;Trastorno del almacenamiento de lípidos, no especificado;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.0;Mucopolisacaridosis tipo I;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.1;Mucopolisacaridosis tipo II;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.2;Otras mucopolisacaridosis;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.3;Mucopolisacaridosis, no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.8;Otros trastornos del metabolismo de los;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E73;Intolerancia a la lactosa;E76.9;Trastorno del metabolismo de los glucosaminoglicanos, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E77.0;Defectos en la modificación postraslacional de enzimas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E77.1;Defectos de la degradación de glucoproteínas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E77.8;Otros trastornos del metabolismo de las glucoproteínas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E77.9;Trastorno del metabolismo de las glucoproteínas, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.0;Hipercolesterolemia pura;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.1;Hipergliceridemia pura;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.2;Hiperlipidemia mixta;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.3;Hiperquilomicronemia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.4;Otra hiperlipidemia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.5;Hiperlipidemia no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.6;Deficiencia de lipoproteínas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.8;Otros trastornos del metabolismo de las lipoproteínas;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E78.9;Trastorno del metabolismo de las lipoproteínas, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E79.1;Síndrome de Lesch–Nyhan;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E79.8;Otros trastornos del metabolismo de las purinas y de las;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E79.9;Trastorno del metabolismo de las purinas y de las;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.0;Porfiria eritropoyética hereditaria;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.1;Porfiria cutánea tardía;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.2;Otras porfirias:;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.3;Defectos de catalasa y peroxidasa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.4;Síndrome de Gilbert;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.5;Síndrome de Crigler–Najjar;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.6;Otros trastornos del metabolismo de la bilirrubina;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E77;Trastornos del metabolismo de las glucoproteínas;E80.7;Trastorno del metabolismo de la bilirrubina, no especificado;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.0;Trastornos del metabolismo del cobre;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.1;Trastornos del metabolismo del hierro;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.2;Trastornos del metabolismo del zinc;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.3;Trastornos del metabolismo del fósforo y fosfatasa;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.4;Trastornos del metabolismo del magnesio;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.5;Trastornos del metabolismo del calcio;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.8;Otros trastornos del metabolismo de los minerales;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E83;Trastornos del metabolismo de los minerales;E83.9;Trastorno del metabolismo de los minerales, no;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E84;Fibrosis quística;E84.0;Fibrosis quística con manifestaciones pulmonares;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E84;Fibrosis quística;E84.1;Fibrosis quística con manifestaciones intestinales;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E84;Fibrosis quística;E84.8;Fibrosis quística con otras manifestaciones;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E84;Fibrosis quística;E84.9;Fibrosis quística, sin otra especificación;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.0;Amiloidosis heredofamiliar no neuropática;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.1;Amiloidosis heredofamiliar neuropática;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.2;Amiloidosis heredofamiliar no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.3;Amiloidosis sistémica secundaria;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.4;Amiloidosis limitada a un órgano;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.8;Otras amiloidosis;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E85;Amiloidosis;E85.9;Amiloidosis, no especificada;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.0;Hiperosmolaridad e hipernatremia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.1;Hiposmolaridad e hiponatremia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.2;Acidosis;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.3;Alcalosis:;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.4;Trastornos mixtos del balance ácido-básico;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.5;Hiperpotasemia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.6;Hipopotasmia;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.7;Sobrecarga de líquidos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E86;Depleción del volumen;E87.8;Otros trastornos del equilibrio de los electrólitos y de los;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.0;Trastornos del metabolismo de proteínas plasmáticas,;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.1;Lipodistrofia, no clasificada en otra parte;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.2;Lipomatosis, no clasificada en otra parte;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.3;Síndrome de lisis tumoral;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.8;Otros trastornos especificados del metabolismo;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E88.9;Trastorno metabólico, no especificado;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.0;Hipotiroidismo consecutivo a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.1;Hipoinsulinemia consecutiva a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.2;Hipoparatiroidismo consecutivo a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.3;Hipopituitarismo consecutivo a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.4;Insuficiencia ovárica consecutiva a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.5;Hipofunción testicular consecutiva a procedimientos;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.6;Hipofunción adrenocortical [médula suprarrenal];
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.8;Otros trastornos metabólicos y endocrinos consecutivos a;
IV;Enfermedades endocrinas, nutricionales y metabólicas (E00–E90);Trastornos metabólicos;E88;Otros trastornos metabólicos;E89.9;Trastorno endocrino y metabólico consecutivo a;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F00;Demencia en la enfermedad de Alzheimer (G30.–†);F00.0;Demencia en la enfermedad de Alzheimer, de comienzo;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F00;Demencia en la enfermedad de Alzheimer (G30.–†);F00.1;Demencia en la enfermedad de Alzheimer, de comienzo;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F00;Demencia en la enfermedad de Alzheimer (G30.–†);F00.2;Demencia en la enfermedad de Alzheimer, atípica o de tipo;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F00;Demencia en la enfermedad de Alzheimer (G30.–†);F00.9;Demencia en la enfermedad de Alzheimer, no especificada;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.0;Demencia vascular de comienzo agudo;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.1;Demencia vascular por infartos múltiples;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.2;Demencia vascular subcortical;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.3;Demencia vascular mixta, cortical y subcortical;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.8;Otras demencias vasculares;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F01.9;Demencia vascular, no especificada;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.0;Demencia en la enfermedad de Pick (G3l.0†);"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.1;Demencia en la enfermedad de Creutzfeldt–Jakob (A81.0†);"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.2;Demencia en la enfermedad de Huntington (Gl0†);"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.3;Demencia en la enfermedad de Parkinson (G20†);"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.4;Demencia en la enfermedad por virus de la;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F02.8;Demencia en otras enfermedades especificadas;"Asterisco (*): código de manifestación; debe usarse junto con un código daga (†)"
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F05.0;Delirio no superpuesto a un cuadro de demencia, así;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F05.1;Delirio superpuesto a un cuadro de demencia;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F05.8;Otros delirios;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F05.9;Delirio, no especificado;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.0;Alucinosis orgánica;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.1;Trastorno catatónico, orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.2;Trastorno delirante [esquizofreniforme], orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.3;Trastornos del humor [afectivos] orgánicos;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.4;Trastorno de ansiedad, orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.5;Trastorno disociativo, orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.6;Trastorno de labilidad emocional [asténico], orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.7;Trastorno cognoscitivo leve;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.8;Otros trastornos mentales especificados debidos a lesión;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F06.9;Trastorno mental no especificado debido a lesión y;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F07.0;Trastorno de la personalidad, orgánico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F07.1;Síndrome postencefalítico;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F07.2;Síndrome postconcusional;
V;Trastornos mentales y del comportamiento (F00–F99);Trastornos mentales orgánicos, incluidos los trastornos sintomáticos;F01;Demencia vascular;F07.8;Otros trastornos orgánicos de la personalidad y del;
